Dataset,Variant,Noise Level,model,accuracy,precision,R19 Compl,BR19 (Mean) Compl,BR19 (Marg) Compl,DiCE Compl,NICE Compl,RL Compl,R19 L1,BR19 (Mean) L1,BR19 (Marg) L1,DiCE L1,NICE L1,RL L1,R19 L2,BR19 (Mean) L2,BR19 (Marg) L2,DiCE L2,NICE L2,RL L2
adult_income,standard,noise_0,blr,0.8402010050251256,0.8342156014576275,,0.9963149078726968,,,,,,0.0,,,,,,0.0,,,,
adult_income,standard,noise_0,lr,0.8395309882747068,0.8334995213490598,0.9963149078726968,,,0.992964824120603,0.997319932998325,0.8157453936348409,0.0,,,9.47983854788573,8.713166327877897,13.776539922511116,0.0,,,6.565794021419221,6.066427715857862,9.59779469615084
adult_income,standard,noise_0,rf,0.8335008375209381,0.8290107296664698,,,,0.9597989949748744,0.9979899497487437,0.8197654941373534,,,,7.79005842084611,10.501884020733526,34.77597545487075,,,,5.3612345549665115,7.224569768891158,30.44242998084704
adult_income,standard,noise_0,tf,0.8157453936348409,0.8117584755092755,,,,0.9963149078726968,0.9963149078726968,,,,,0.0,0.0,,,,,0.0,0.0,
adult_income,standard,noise_1,blr,0.8113902847571189,0.8013434994119916,,0.997319932998325,,,,,,440.40355960187304,,,,,,426.66957432612213,,,,
adult_income,standard,noise_1,lr,0.8100502512562814,0.7997325889629876,0.997319932998325,,,0.9922948073701843,0.9976549413735344,0.9641541038525964,440.3892878975935,,,42.19505997900621,55.55648660206613,129.84450413034014,426.66892222094816,,,29.806003081615522,42.556885560330294,98.06814183764803
adult_income,standard,noise_1,rf,0.8077051926298158,0.7968598426499462,,,,0.9725293132328309,0.9979899497487437,0.8033500837520938,,,,42.73926354782674,52.49199220297378,27.60069582112443,,,,30.593627916926742,36.150547075255794,20.773875448825684
adult_income,standard,noise_1,tf,0.7819095477386935,0.7814710506409999,,,,0.997319932998325,0.997319932998325,,,,,41.44981396349248,41.44981396349248,,,,,29.15792034270847,29.15792034270847,
adult_income,standard,noise_2,blr,0.7721943048576214,0.7566501073400275,,0.8874371859296483,,,,,,361.9020464443025,,,,,,342.1523062818772,,,,
adult_income,standard,noise_2,lr,0.7721943048576214,0.7566492007134068,0.8874371859296483,,,0.8974874371859296,0.8556113902847571,0.1711892797319933,361.9378770219831,,,35.57854134295433,47.95510701920645,48.25686220332476,342.1522755415946,,,19.43734862911045,30.576244778094896,38.68235003265382
adult_income,standard,noise_2,rf,0.7721943048576214,0.7566620412592809,,,,0.8663316582914573,0.8820770519262982,0.7802345058626465,,,,35.318262552634756,61.21436870151806,120.92143775431326,,,,19.242593448559393,40.509459663336926,110.86284321288319
adult_income,standard,noise_2,tf,0.7537688442211056,0.737770334296435,,,,0.8874371859296483,0.8874371859296483,,,,,38.76659485224142,38.76659485224142,,,,,21.946420848378807,21.946420848378807,
adult_income,standard,noise_3,blr,0.7507537688442211,0.7282646240635511,,0.9939698492462311,,,,,,313.3727350415939,,,,,,289.6914361726367,,,,
adult_income,standard,noise_3,lr,0.7504187604690117,0.7278169567305803,0.9939698492462311,,,0.9906197654941373,0.9949748743718593,0.1490787269681742,313.36657192366056,,,38.68916312098797,52.19455659691012,59.998521896069406,289.69105981205246,,,18.278840767820903,30.036213460414274,50.21068219572069
adult_income,standard,noise_3,rf,0.755108877721943,0.73428644576046,,,,0.9504187604690117,0.9949748743718593,0.14371859296482412,,,,38.29466495386892,50.744041032719025,293.1734368803764,,,,18.01758753613333,27.17546951265874,270.7406037097339
adult_income,standard,noise_3,tf,0.7296482412060301,0.7142616830587993,,,,0.9939698492462311,0.9939698492462311,,,,,49.368300791060484,49.368300791060484,,,,,23.41928126801788,23.41928126801788,
adult_income,standard,noise_4,blr,0.7122278056951423,0.6814835511818822,,0.9976549413735344,,,,,,220.24126563702538,,,,,,190.89560209566181,,,,
adult_income,standard,noise_4,lr,0.7139028475711893,0.6842014160616836,0.9976549413735344,,,0.9939698492462311,0.9986599664991624,0.12093802345058627,220.2386460774979,,,42.55720978229157,53.79171486296877,49.00450461981321,190.89531193145245,,,18.087288680995204,27.944614116632554,37.94892104137877
adult_income,standard,noise_4,rf,0.7175879396984924,0.6905851117032957,,,,0.928643216080402,0.9979899497487437,0.17587939698492464,,,,43.24484869990976,57.777535922236,62.01569444015996,,,,18.62365980178278,29.71572311560591,47.11153155125642
adult_income,standard,noise_4,tf,0.6666666666666666,0.6443403707007632,,,,0.9976549413735344,0.9976549413735344,,,,,49.852707281848566,49.852707281848566,,,,,20.99281351974131,20.99281351974131,
adult_income,standard,noise_5,blr,0.704857621440536,0.6828517463262938,,0.9953098827470687,,,,,,178.72197795561712,,,,,,143.99120024669364,,,,
adult_income,standard,noise_5,lr,0.7051926298157454,0.6836867090606374,0.9953098827470687,,,0.9926298157453937,0.9966499162479062,0.08710217755443886,178.71962673094671,,,46.823604293397516,57.64523372421452,69.14865586046774,143.99101023729563,,,18.123678204283483,27.688695119325182,57.391130565416056
adult_income,standard,noise_5,rf,0.7015075376884422,0.6740847557035242,,,,0.9195979899497487,0.9969849246231156,0.09313232830820771,,,,46.79190429210964,58.60327324128814,76.42121519470571,,,,18.280481611963783,27.236503846003586,63.86997948000865
adult_income,standard,noise_5,tf,0.6592964824120603,0.6365862630910448,,,,0.9953098827470687,0.9953098827470687,,,,,51.921092499093696,51.921092499093696,,,,,19.885367334955454,19.885367334955454,
adult_income,standard,noise_6,blr,0.6814070351758794,0.6405306513648014,,0.9953098827470687,,,,,,188.09210544669835,,,,,,152.48262784355938,,,,
adult_income,standard,noise_6,lr,0.6824120603015076,0.6432235134844327,0.9953098827470687,,,0.9919597989949749,0.9936348408710218,0.07001675041876047,188.0935202758903,,,47.03179185861327,58.9690271653427,65.24880678668389,152.48266828287885,,,17.578451729181108,27.892276124226726,51.29850248365368
adult_income,standard,noise_6,rf,0.678391959798995,0.6341375598218281,,,,0.9209380234505863,0.995644891122278,0.08542713567839195,,,,47.04696328832024,59.30287008976815,93.38039149408287,,,,17.890133216661006,27.50991858649302,79.59789997006172
adult_income,standard,noise_6,tf,0.630820770519263,0.5993918297730939,,,,0.9953098827470687,0.9953098827470687,,,,,52.43166179979266,52.43166179979266,,,,,19.475552863574652,19.475552863574652,
adult_income,standard,noise_7,blr,0.6830820770519263,0.6382991956256961,,0.9976549413735344,,,,,,234.18196904329645,,,,,,198.1379189397464,,,,
adult_income,standard,noise_7,lr,0.6840871021775544,0.6426782984147029,0.9976549413735344,,,0.995644891122278,0.9989949748743718,0.04053601340033501,234.19023831492837,,,47.02903477526999,56.35219769394024,95.09543847956327,198.13786146139387,,,17.517147357525026,25.439229803604935,81.4645560664394
adult_income,standard,noise_7,rf,0.6750418760469011,0.6187038305646921,,,,0.8649916247906198,0.997319932998325,0.0592964824120603,,,,47.45328532021553,64.97877879895385,217.1438610184778,,,,17.759397148604876,32.06247969565621,203.8142930832088
adult_income,standard,noise_7,tf,0.6170854271356784,0.5931021329592169,,,,0.9976549413735344,0.9976549413735344,,,,,55.06407546225381,55.06407546225381,,,,,20.434178689592542,20.434178689592542,
adult_income,standard,noise_8,blr,0.6773869346733669,0.6257337774925714,,0.9979899497487437,,,,,,160.1626624781116,,,,,,125.00471133348923,,,,
adult_income,standard,noise_8,lr,0.6780569514237856,0.629245261538198,0.9979899497487437,,,0.9963149078726968,0.997319932998325,0.03350083752093802,160.1530082573358,,,46.375630811633094,58.70799518245499,45.971517378994356,125.00427217999106,,,17.384591168400455,27.440351456650085,35.76662762275076
