Dataset,Variant,Noise Level,model,accuracy,precision,R19 Compl,BR19 (Mean) Compl,BR19 (Marg) Compl,DiCE Compl,NICE Compl,RL Compl,R19 L1,BR19 (Mean) L1,BR19 (Marg) L1,DiCE L1,NICE L1,RL L1,R19 L2,BR19 (Mean) L2,BR19 (Marg) L2,DiCE L2,NICE L2,RL L2
german_credit,standard,noise_0,blr,0.7696969696969697,0.7588505644843674,,1.0,,,,,,0.0,,,,,,0.0,,,,
german_credit,standard,noise_0,lr,0.7696969696969697,0.7588505644843674,1.0,,,1.0,1.0,0.8787878787878788,0.0,,,7.6255155195744475,7.3435624577304806,14.902065486795976,0.0,,,3.6876899843790936,3.490876290797116,7.786760616146262
german_credit,standard,noise_0,rf,0.7545454545454545,0.7427341043283072,,,,0.9787878787878788,1.0,0.21818181818181817,,,,7.487523890259343,7.768317399184616,40.4727976640621,,,,3.5837791168212783,3.599850970816513,31.82409026120115
german_credit,standard,noise_0,tf,0.7545454545454545,0.7479713804713806,,,,1.0,1.0,,,,,0.0,0.0,,,,,0.0,0.0,
german_credit,standard,noise_1,blr,0.7333333333333333,0.7197660818713449,,0.9666666666666667,,,,,,1840.435837141836,,,,,,1816.2791607356721,,,,
german_credit,standard,noise_1,lr,0.7303030303030303,0.7156124178851452,0.9666666666666667,,,1.0,1.0,0.996969696969697,1840.4773184548199,,,32.983894678119924,31.658987895534413,144.3516302524333,1816.2795240041653,,,11.651861274189967,11.250855761958915,125.99058238155334
german_credit,standard,noise_1,rf,0.703030303030303,0.675329755197742,,,,0.9818181818181818,1.0,1.0,,,,32.448184329317655,32.702922789441644,81.69885774140828,,,,11.538470468636785,11.543339924319694,47.66222244428774
german_credit,standard,noise_1,tf,0.6757575757575758,0.6542773361463788,,,,1.0,1.0,,,,,32.2713384038179,32.2713384038179,,,,,12.048511638518088,12.048511638518088,
german_credit,standard,noise_2,blr,0.6393939393939394,0.5756914381914382,,1.0,,,,,,437.11754072034336,,,,,,395.8460937878795,,,,
german_credit,standard,noise_2,lr,0.6393939393939394,0.5756914381914382,1.0,,,1.0,1.0,0.1303030303030303,437.2168839714504,,,47.827227104082695,45.68531058881598,60.4824917574982,395.8488984173322,,,13.85780820895967,13.59452909615577,30.01032251520196
german_credit,standard,noise_2,rf,0.6636363636363637,0.5995399337504601,,,,0.9787878787878788,1.0,0.05454545454545454,,,,47.01326099369062,47.6941745598737,96.9970831571419,,,,14.117851658937639,14.29486654550191,54.934998467077094
german_credit,standard,noise_2,tf,0.6515151515151515,0.6202051951939693,,,,1.0,1.0,,,,,48.59280176252105,48.59280176252105,,,,,14.97984954562131,14.97984954562131,
german_credit,standard,noise_3,blr,0.6454545454545455,0.5720220375510479,,1.0,,,,,,475.4450570256139,,,,,,425.20250196647595,,,,
german_credit,standard,noise_3,lr,0.6424242424242425,0.5685958357912214,1.0,,,1.0,1.0,0.12121212121212122,475.4357192186681,,,53.978944760860216,51.50178101660616,66.68932262547165,425.20279864954136,,,14.739194455050004,14.566346877879832,33.024237770217916
german_credit,standard,noise_3,rf,0.6727272727272727,0.5892877822814128,,,,0.996969696969697,1.0,0.3151515151515151,,,,53.63898124771719,52.039477775759366,132.2724634336541,,,,14.613840863093948,14.478971172631747,97.3672187695445
german_credit,standard,noise_3,tf,0.603030303030303,0.5827232711266325,,,,1.0,1.0,,,,,54.02020577183505,54.02020577183505,,,,,14.938836327195817,14.938836327195817,
german_credit,standard,noise_4,blr,0.6303030303030303,0.5506354645087604,,1.0,,,,,,455.89124457087416,,,,,,405.6435388165734,,,,
german_credit,standard,noise_4,lr,0.6272727272727273,0.545949494949495,1.0,,,1.0,1.0,0.9121212121212121,455.89864762947377,,,55.79594054232831,52.799093299756834,33.680223338188625,405.6435687645295,,,14.82590368403293,14.592280233919144,13.74220899171511
german_credit,standard,noise_4,rf,0.6454545454545455,0.5342613636363637,,,,0.9939393939393939,1.0,1.0,,,,55.05203293334809,52.676170312119986,226.20604723037528,,,,14.740196919854824,14.7136886132781,181.14490110052165
german_credit,standard,noise_4,tf,0.6181818181818182,0.5859292245518992,,,,1.0,1.0,,,,,54.44851576825652,54.44851576825652,,,,,14.98355656126567,14.98355656126567,
german_credit,standard,noise_5,blr,0.6303030303030303,0.5650443832262014,,0.4303030303030303,,,,,,340.90349658546097,,,,,,290.89176200555073,,,,
german_credit,standard,noise_5,lr,0.6303030303030303,0.5650443832262014,0.42424242424242425,,,1.0,1.0,1.0,7071.212783084572,,,57.272872596544,54.03385803796375,42.77608903796685,7019.947696605018,,,15.30885187697835,15.414274737361945,17.560418442712393
german_credit,standard,noise_5,rf,0.6454545454545455,0.5761343087292454,,,,0.9939393939393939,1.0,0.030303030303030304,,,,55.4834539894719,52.59677066450644,57.97663005265893,,,,14.831617883921009,14.750446161747336,34.8595538446703
german_credit,standard,noise_5,tf,0.5969696969696969,0.5387022397891962,,,,1.0,1.0,,,,,55.65441798478743,55.65441798478743,,,,,15.383905264560667,15.383905264560667,
